GSE,GSM,treatment,group,organism,biological_system,dose,dose_unit,time_point,time_point_unit,slide,array,dye,platform,filenames
GSE35193,GSM863285,Carbon black (Printex90),CB_Printex90_18ug_1d,Mus musculus,Lung,18,ug,1,d,251486818953_201002090953,1_2,Cy5,GPL4134,GSM863285_251486818953_201002090953_S01_GE2_107_Sep09_1_2.txt
GSE35193,GSM863286,Carbon black (Printex90),CB_Printex90_54ug_1d,Mus musculus,Lung,54,ug,1,d,251486818953_201002090953,1_3,Cy5,GPL4134,GSM863286_251486818953_201002090953_S01_GE2_107_Sep09_1_3.txt
GSE35193,GSM863287,Carbon black (Printex90),CB_Printex90_162ug_1d,Mus musculus,Lung,162,ug,1,d,251486818953_201002090953,1_4,Cy5,GPL4134,GSM863287_251486818953_201002090953_S01_GE2_107_Sep09_1_4.txt
GSE35193,GSM863288,control,control_3d,Mus musculus,Lung,0,NA,3,d,251486818955_201002091001,1_1,Cy5,GPL4134,GSM863288_251486818955_201002091001_S01_GE2_107_Sep09_1_1.txt
GSE35193,GSM863289,Carbon black (Printex90),CB_Printex90_18ug_3d,Mus musculus,Lung,18,ug,3,d,251486818955_201002091001,1_2,Cy5,GPL4134,GSM863289_251486818955_201002091001_S01_GE2_107_Sep09_1_2.txt
GSE35193,GSM863290,Carbon black (Printex90),CB_Printex90_162ug_3d,Mus musculus,Lung,162,ug,3,d,251486818955_201002091001,1_4,Cy5,GPL4134,GSM863290_251486818955_201002091001_S01_GE2_107_Sep09_1_4.txt
GSE35193,GSM863291,Carbon black (Printex90),CB_Printex90_18ug_28d,Mus musculus,Lung,18,ug,28,d,251486819053_200911200908,1_2,Cy5,GPL4134,GSM863291_251486819053_200911200908_S01_GE2_105_Jan09_1_2.txt
GSE35193,GSM863292,Carbon black (Printex90),CB_Printex90_54ug_28d,Mus musculus,Lung,54,ug,28,d,251486819053_200911200908,1_3,Cy5,GPL4134,GSM863292_251486819053_200911200908_S01_GE2_105_Jan09_1_3.txt
GSE35193,GSM863293,Carbon black (Printex90),CB_Printex90_162ug_28d,Mus musculus,Lung,162,ug,28,d,251486819053_200911200908,1_4,Cy5,GPL4134,GSM863293_251486819053_200911200908_S01_GE2_105_Jan09_1_4.txt
GSE35193,GSM863294,control,control_1d,Mus musculus,Lung,0,NA,1,d,251486818889_201002120947,1_1,Cy5,GPL4134,GSM863294_251486818889_201002120947_S01_GE2_105_Jan09_1_1.txt
GSE35193,GSM863295,control,control_3d,Mus musculus,Lung,0,NA,3,d,251486818889_201002120947,1_2,Cy5,GPL4134,GSM863295_251486818889_201002120947_S01_GE2_105_Jan09_1_2.txt
GSE35193,GSM863296,control,control_28d,Mus musculus,Lung,0,NA,28,d,251486818889_201002120947,1_3,Cy5,GPL4134,GSM863296_251486818889_201002120947_S01_GE2_105_Jan09_1_3.txt
GSE35193,GSM863297,Carbon black (Printex90),CB_Printex90_162ug_1d,Mus musculus,Lung,162,ug,1,d,251486818889_201002120947,1_4,Cy5,GPL4134,GSM863297_251486818889_201002120947_S01_GE2_105_Jan09_1_4.txt
GSE35193,GSM863298,Carbon black (Printex90),CB_Printex90_18ug_1d,Mus musculus,Lung,18,ug,1,d,251486818890_201002120955,1_1,Cy5,GPL4134,GSM863298_251486818890_201002120955_S01_GE2_105_Jan09_1_1.txt
GSE35193,GSM863299,Carbon black (Printex90),CB_Printex90_18ug_3d,Mus musculus,Lung,18,ug,3,d,251486818890_201002120955,1_2,Cy5,GPL4134,GSM863299_251486818890_201002120955_S01_GE2_105_Jan09_1_2.txt
GSE35193,GSM863300,Carbon black (Printex90),CB_Printex90_18ug_28d,Mus musculus,Lung,18,ug,28,d,251486818890_201002120955,1_3,Cy5,GPL4134,GSM863300_251486818890_201002120955_S01_GE2_105_Jan09_1_3.txt
GSE35193,GSM863301,Carbon black (Printex90),CB_Printex90_162ug_3d,Mus musculus,Lung,162,ug,3,d,251486818890_201002120955,1_4,Cy5,GPL4134,GSM863301_251486818890_201002120955_S01_GE2_105_Jan09_1_4.txt
GSE35193,GSM863302,Carbon black (Printex90),CB_Printex90_54ug_1d,Mus musculus,Lung,54,ug,1,d,251486818909_201002161006,1_1,Cy5,GPL4134,GSM863302_251486818909_201002161006_S01_GE2_107_Sep09_1_1.txt
GSE35193,GSM863303,Carbon black (Printex90),CB_Printex90_54ug_3d,Mus musculus,Lung,54,ug,3,d,251486818909_201002161006,1_2,Cy5,GPL4134,GSM863303_251486818909_201002161006_S01_GE2_107_Sep09_1_2.txt
GSE35193,GSM863304,Carbon black (Printex90),CB_Printex90_54ug_28d,Mus musculus,Lung,54,ug,28,d,251486818909_201002161006,1_3,Cy5,GPL4134,GSM863304_251486818909_201002161006_S01_GE2_107_Sep09_1_3.txt
GSE35193,GSM863305,Carbon black (Printex90),CB_Printex90_162ug_28d,Mus musculus,Lung,162,ug,28,d,251486818909_201002161006,1_4,Cy5,GPL4134,GSM863305_251486818909_201002161006_S01_GE2_107_Sep09_1_4.txt
GSE35193,GSM863306,Carbon black (Printex90),CB_Printex90_162ug_1d,Mus musculus,Lung,162,ug,1,d,251486818910_201002161013,1_1,Cy5,GPL4134,GSM863306_251486818910_201002161013_S01_GE2_107_Sep09_1_1.txt
GSE35193,GSM863307,Carbon black (Printex90),CB_Printex90_162ug_3d,Mus musculus,Lung,162,ug,3,d,251486818910_201002161013,1_2,Cy5,GPL4134,GSM863307_251486818910_201002161013_S01_GE2_107_Sep09_1_2.txt
GSE35193,GSM863308,Carbon black (Printex90),CB_Printex90_162ug_28d,Mus musculus,Lung,162,ug,28,d,251486818910_201002161013,1_3,Cy5,GPL4134,GSM863308_251486818910_201002161013_S01_GE2_107_Sep09_1_3.txt
GSE35193,GSM863309,Carbon black (Printex90),CB_Printex90_54ug_1d,Mus musculus,Lung,54,ug,1,d,251486818910_201002161013,1_4,Cy5,GPL4134,GSM863309_251486818910_201002161013_S01_GE2_107_Sep09_1_4.txt
GSE35193,GSM863310,control,control_1d,Mus musculus,Lung,0,NA,1,d,251486818911_201002171020,1_1,Cy5,GPL4134,GSM863310_251486818911_201002171020_S01_GE2_107_Sep09_1_1.txt
GSE35193,GSM863311,Carbon black (Printex90),CB_Printex90_18ug_1d,Mus musculus,Lung,18,ug,1,d,251486818911_201002171020,1_2,Cy5,GPL4134,GSM863311_251486818911_201002171020_S01_GE2_107_Sep09_1_2.txt
GSE35193,GSM863312,Carbon black (Printex90),CB_Printex90_54ug_1d,Mus musculus,Lung,54,ug,1,d,251486818911_201002171020,1_3,Cy5,GPL4134,GSM863312_251486818911_201002171020_S01_GE2_107_Sep09_1_3.txt
GSE35193,GSM863313,Carbon black (Printex90),CB_Printex90_162ug_1d,Mus musculus,Lung,162,ug,1,d,251486818911_201002171020,1_4,Cy5,GPL4134,GSM863313_251486818911_201002171020_S01_GE2_107_Sep09_1_4.txt
