sample,reference,np_source,np_type,np_core,diameter_mean,diameter_max,diameter_min,length_mean,length_max,length_min,molecular_weight,density,dispersity_original,hydrodynamic_size,dispersity_water,surface_area,aggregate_size_mean,aggregate_size_max,aggregate_size_min,zeta_potential,image,shape,purity,coating,coating_material,crystalline,centrifuge,stir,stirring,stirring_rate,sonication,sonication2,sonication_freq.,filter,solubilization_media,maximal_dose,minimal_dose,dissolved_cation,ph,exposure_time,exposure_day,water,materials_in_water,concentration_of_materials,number_of_daphina,daphnia_age_hour,test_solution,container_size,repeating_number,rpm,food ,menu,food_concentration,test_solution_renewer,temperature,radiation,ec50,ec_ul,ec_ll,immobilisation_rate,immobilisation_concentration,lc50,lc_ul,lc_ll,mortality,mortality_concentration,others_feature
15,3,in house,Me,Ag,36.0,,,,,,,,0.32,438.0,0.8,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,48,2.0,standard synthetic freshwater,,,4,24.0,30.0,50.0,4.0,0.0,0.0,,,,21.0,,0.003,,,50.0,0.003,,,,,,"단위 환산 error, LC -> EC"
16,3,in house,Me,Ag,52.0,,,,,,,,0.4,378.0,0.66,,,,,,1.0,"sphere, rod",,0.0,,,,,,,,,,,,,,,,48,2.0,standard synthetic freshwater,,,4,24.0,30.0,50.0,4.0,0.0,0.0,,,,21.0,,0.004,,,50.0,0.004,,,,,,"단위 환산 error, LC -> EC"
17,3,in house,Me,Ag,66.0,,,,,,,,0.24,553.0,0.9,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,48,2.0,standard synthetic freshwater,,,4,24.0,30.0,50.0,4.0,0.0,0.0,,,,21.0,,0.004,,,50.0,0.004,,,,,,"단위 환산 error, LC -> EC"
18,3,in house,BiMe,Ag-Au,41.0,,,,,,,,0.3,17.0,0.61,,,,,,1.0,sphere,,0.0,,,,,,,,,,,,,,,,48,2.0,standard synthetic freshwater,,,4,24.0,30.0,50.0,4.0,0.0,0.0,,,,21.0,,0.012,,,50.0,0.012,,,,,,"단위 환산 error, LC -> EC"
19,3,in house,BiMe,Ag-Au,72.0,,,,,,,,0.08,77.0,0.15,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,48,2.0,standard synthetic freshwater,,,4,24.0,30.0,50.0,4.0,0.0,0.0,,,,21.0,,0.016,,,50.0,0.016,,,,,,"단위 환산 error, LC -> EC"
20,4,"IoLiTecGmbh (Heibronn, Germany)",Me,Cu,50.0,,,,,,,,,953.0,,7.0,953.0,1478.0,428.0,-4,1.0,sphere,99.8,0.0,,,,,,,1.0,20.0,,0.02,,0.16,0.02,20.0,7.8,48,2.0,ISO water,,,5,24.0,20.0,,4.0,0.0,0.0,,,,20.0,,0.093,0.101,0.86,50.0,0.093,,,,,,"NP information, pH, LC->EC"
21,4,"IoLiTecGmbh (Heibronn, Germany)",MeOx,ZnO,43.0,,,,,,,,,1871.0,,27.0,1871.0,2380.0,1362.0,-3,1.0,sphere,99.5,0.0,,,,,,,1.0,20.0,,0.02,,2.6,0.4,60.0,7.8,48,2.0,ISO water,,,5,24.0,20.0,,4.0,0.0,0.0,,,,20.0,,0.99,1.07,0.92,50.0,0.99,,,,,,"NP information, pH, LC->EC"
22,6,in house,MeOx,TiO2,300.0,500.0,100.0,,,,,,,,,,300.0,500.0,100.0,,1.0,,,,,,,,,,1.0,30.0,,,,500.0,50.0,,,48,2.0,standard synthetic freshwater (moderately hard),,,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,,,,9.0,500.0,독성데이터 추가
23,6,in house,MeOx,TiO2,300.0,500.0,100.0,,,,,,,,,,300.0,500.0,100.0,,1.0,,,,,,,,,,1.0,30.0,,,,500.0,50.0,,,48,2.0,standard synthetic freshwater (moderately hard),,,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,,,,5.0,400.0,독성데이터 추가
24,6,in house,MeOx,TiO2,300.0,500.0,100.0,,,,,,,,,,300.0,500.0,100.0,,1.0,,,,,,,,,,1.0,30.0,,,,500.0,50.0,,,48,2.0,standard synthetic freshwater (moderately hard),,,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,,,,11.0,350.0,독성데이터 추가
25,6,in house,MeOx,TiO2,300.0,500.0,100.0,,,,,,,,,,300.0,500.0,100.0,,1.0,,,,,,,,,,1.0,30.0,,,,500.0,50.0,,,48,2.0,standard synthetic freshwater (moderately hard),,,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,,,,2.0,300.0,독성데이터 추가
26,6,in house,MeOx,TiO2,300.0,500.0,100.0,,,,,,,,,,300.0,500.0,100.0,,1.0,,,,,,,,,,1.0,30.0,,,,500.0,50.0,,,48,2.0,standard synthetic freshwater (moderately hard),,,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,,,,5.0,250.0,독성데이터 추가
27,6,in house,MeOx,TiO2,300.0,500.0,100.0,,,,,,,,,,300.0,500.0,100.0,,1.0,,,,,,,,,,1.0,30.0,,,,500.0,50.0,,,48,2.0,standard synthetic freshwater (moderately hard),,,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,,,,5.0,200.0,독성데이터 추가
28,6,in house,MeOx,TiO2,300.0,500.0,100.0,,,,,,,,,,300.0,500.0,100.0,,1.0,,,,,,,,,,1.0,30.0,,,,500.0,50.0,,,48,2.0,standard synthetic freshwater (moderately hard),,,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,,,,9.0,50.0,독성데이터 추가
29,6,in house,MeOx,TiO2,30.0,,,,,,,,,,,,30.0,,,,1.0,,,,,,,,,,,,,0.22,,10.0,0.2,,,48,2.0,standard synthetic freshwater (moderately hard),,,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,5.5,,,50.0,5.5,단위 환산 error
30,6,in house,MeOx,TiO2,30.0,,,,,,,,,,,,30.0,,,,1.0,,,,,,,,,,,,,0.22,,10.0,0.2,,,48,2.0,standard synthetic freshwater (moderately hard),,,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,,,,0.0,0.2,독성데이터 추가
31,6,in house,MeOx,TiO2,30.0,,,,,,,,,,,,30.0,,,,1.0,,,,,,,,,,,,,0.22,,10.0,0.2,,,48,2.0,standard synthetic freshwater (moderately hard),,,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,,,,6.0,1.0,독성데이터 추가
32,6,in house,MeOx,TiO2,30.0,,,,,,,,,,,,30.0,,,,1.0,,,,,,,,,,,,,0.22,,10.0,0.2,,,48,2.0,standard synthetic freshwater (moderately hard),,,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,,,,9.0,2.0,독성데이터 추가
33,6,in house,MeOx,TiO2,30.0,,,,,,,,,,,,30.0,,,,1.0,,,,,,,,,,,,,0.22,,10.0,0.2,,,48,2.0,standard synthetic freshwater (moderately hard),,,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,,,,47.0,5.0,독성데이터 추가
34,6,in house,MeOx,TiO2,30.0,,,,,,,,,,,,30.0,,,,1.0,,,,,,,,,,,,,0.22,,10.0,0.2,,,48,2.0,standard synthetic freshwater (moderately hard),,,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,,,,50.0,6.0,독성데이터 추가
35,6,in house,MeOx,TiO2,30.0,,,,,,,,,,,,30.0,,,,1.0,,,,,,,,,,,,,0.22,,10.0,0.2,,,48,2.0,standard synthetic freshwater (moderately hard),,,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,,,,94.0,8.0,독성데이터 추가
36,6,in house,MeOx,TiO2,30.0,,,,,,,,,,,,30.0,,,,1.0,,,,,,,,,,,,,0.22,,10.0,0.2,,,48,2.0,standard synthetic freshwater (moderately hard),,,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,,,,100.0,10.0,독성데이터 추가
37,6,"Alfa Aesar, Ward Hill, MA USA",Carbon,C60,,,,,,,,,,,,,50.0,100.0,20.0,,1.0,,,,,,,,,,1.0,30.0,,,,9.0,0.2,,,48,2.0,standard synthetic freshwater (moderately hard),tetrahydrofuran,200.0,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,7.9,,,50.0,7.9,C60 정보 추가
38,6,"Alfa Aesar, Ward Hill, MA USA",Carbon,C60,,,,,,,,,,,,,50.0,100.0,20.0,,1.0,,,,,,,,,,1.0,30.0,,,,9.0,0.2,,,48,2.0,standard synthetic freshwater (moderately hard),tetrahydrofuran,200.0,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,,,,5.0,0.2,독성데이터 추가
39,6,"Alfa Aesar, Ward Hill, MA USA",Carbon,C60,,,,,,,,,,,,,50.0,100.0,20.0,,1.0,,,,,,,,,,1.0,30.0,,,,9.0,0.2,,,48,2.0,standard synthetic freshwater (moderately hard),tetrahydrofuran,200.0,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,,,,24.0,0.45,독성데이터 추가
40,6,"Alfa Aesar, Ward Hill, MA USA",Carbon,C60,,,,,,,,,,,,,50.0,100.0,20.0,,1.0,,,,,,,,,,1.0,30.0,,,,9.0,0.2,,,48,2.0,standard synthetic freshwater (moderately hard),tetrahydrofuran,200.0,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,,,,5.0,0.9,독성데이터 추가
41,6,"Alfa Aesar, Ward Hill, MA USA",Carbon,C60,,,,,,,,,,,,,50.0,100.0,20.0,,1.0,,,,,,,,,,1.0,30.0,,,,9.0,0.2,,,48,2.0,standard synthetic freshwater (moderately hard),tetrahydrofuran,200.0,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,,,,2.5,2.25,독성데이터 추가
42,6,"Alfa Aesar, Ward Hill, MA USA",Carbon,C60,,,,,,,,,,,,,50.0,100.0,20.0,,1.0,,,,,,,,,,1.0,30.0,,,,9.0,0.2,,,48,2.0,standard synthetic freshwater (moderately hard),tetrahydrofuran,200.0,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,,,,26.0,4.5,독성데이터 추가
43,6,"Alfa Aesar, Ward Hill, MA USA",Carbon,C60,,,,,,,,,,,,,50.0,100.0,20.0,,1.0,,,,,,,,,,1.0,30.0,,,,9.0,0.2,,,48,2.0,standard synthetic freshwater (moderately hard),tetrahydrofuran,200.0,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,,,,13.0,5.4,독성데이터 추가
