sample,reference,np_source,np_type,np_core,diameter_mean,diameter_max,diameter_min,length_mean,length_max,length_min,molecular_weight,density,dispersity_original,hydrodynamic_size,dispersity_water,surface_area,aggregate_size_mean,aggregate_size_max,aggregate_size_min,zeta_potential,image,shape,purity,coating,coating_material,crystalline,centrifuge,stir,stirring,stirring_rate,sonication,sonication2,sonication_freq.,filter,solubilization_media,maximal_dose,minimal_dose,dissolved_cation,ph,exposure_time,exposure_day,water,materials_in_water,concentration_of_materials,number_of_daphina,daphnia_age_hour,test_solution,container_size,repeating_number,rpm,food ,menu,food_concentration,test_solution_renewer,temperature,radiation,ec50,ec_ul,ec_ll,immobilisation_rate,immobilisation_concentration,lc50,lc_ul,lc_ll,mortality,mortality_concentration,others_feature
320,23,"Nano structured and Amorphous Materials (Texas, USA)",metal,Ag,35.0,,,,,,,,,588.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,96,4.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,30.0,,,,,,,,,,,,,,,,100.0,10.0,Commercial 추가
321,23,"Nano structured and Amorphous Materials (Texas, USA)",metal,Ag,1100.0,1600.0,600.0,,,,,,,811.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,96,4.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,30.0,,,,,,,,,,,,,,,,0.0,0.0,Commercial 추가
322,23,"Nano structured and Amorphous Materials (Texas, USA)",metal,Ag,1100.0,1600.0,600.0,,,,,,,811.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,96,4.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,30.0,,,,,,,,,,,,,,,,3.33,0.01,Commercial 추가
323,23,"Nano structured and Amorphous Materials (Texas, USA)",metal,Ag,1100.0,1600.0,600.0,,,,,,,811.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,96,4.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,30.0,,,,,,,,,,,,,,,,13.33,0.1,Commercial 추가
324,23,"Nano structured and Amorphous Materials (Texas, USA)",metal,Ag,1100.0,1600.0,600.0,,,,,,,811.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,96,4.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,30.0,,,,,,,,,,,,,,,,80.0,1.0,Commercial 추가
325,23,"Nano structured and Amorphous Materials (Texas, USA)",metal,Ag,1100.0,1600.0,600.0,,,,,,,811.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,96,4.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,30.0,,,,,,,,,,,,,,,,100.0,10.0,Commercial 추가
326,23,Sigma,MeOx,CeO2,25.0,25.0,,,,,,,,3950.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,96,4.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,40.0,,,,,,,,,,,,,,,,5.41,0.0,Commercial 추가
327,23,Sigma,MeOx,CeO2,25.0,25.0,,,,,,,,3950.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,96,4.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,40.0,,,,,,,,,,,,,,,,5.28,0.01,Commercial 추가
328,23,Sigma,MeOx,CeO2,25.0,25.0,,,,,,,,3950.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,96,4.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,40.0,,,,,,,,,,,,,,,,2.5,0.1,Commercial 추가
329,23,Sigma,MeOx,CeO2,25.0,25.0,,,,,,,,3950.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,96,4.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,40.0,,,,,,,,,,,,,,,,13.12,1.0,Commercial 추가
330,23,Sigma,MeOx,CeO2,25.0,25.0,,,,,,,,3950.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,96,4.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,40.0,,,,,,,,,,,,,,,,7.5,10.0,Commercial 추가
331,23,Sigma,MeOx,CeO2,5000.0,5000.0,,,,,,,,2730.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,96,4.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,40.0,,,,,,,,,,,,,,,,5.41,0.0,Commercial 추가
332,23,Sigma,MeOx,CeO2,5000.0,5000.0,,,,,,,,2730.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,96,4.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,40.0,,,,,,,,,,,,,,,,2.78,0.01,Commercial 추가
333,23,Sigma,MeOx,CeO2,5000.0,5000.0,,,,,,,,2730.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,96,4.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,40.0,,,,,,,,,,,,,,,,5.0,0.1,Commercial 추가
334,23,Sigma,MeOx,CeO2,5000.0,5000.0,,,,,,,,2730.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,96,4.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,40.0,,,,,,,,,,,,,,,,5.0,1.0,Commercial 추가
335,23,Sigma,MeOx,CeO2,5000.0,5000.0,,,,,,,,2730.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,96,4.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,40.0,,,,,,,,,,,,,,,,5.0,10.0,Commercial 추가
336,23,"Nano structured and Amorphous Materials (Texas, USA)",metal,Ag,35.0,,,,,,,,,588.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,504,21.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,30.0,,,,,,,,,,,,,,,,0.0,0.0,Commercial 추가
337,23,"Nano structured and Amorphous Materials (Texas, USA)",metal,Ag,35.0,,,,,,,,,588.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,504,21.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,30.0,,,,,,,,,,,,,,,,30.0,0.001,Commercial 추가
338,23,"Nano structured and Amorphous Materials (Texas, USA)",metal,Ag,35.0,,,,,,,,,588.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,504,21.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,30.0,,,,,,,,,,,,,,,,0.0,0.005,Commercial 추가
339,23,"Nano structured and Amorphous Materials (Texas, USA)",metal,Ag,35.0,,,,,,,,,588.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,504,21.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,30.0,,,,,,,,,,,,,,,,10.0,0.01,Commercial 추가
340,23,"Nano structured and Amorphous Materials (Texas, USA)",metal,Ag,35.0,,,,,,,,,588.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,504,21.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,30.0,,,,,,,,,,,,,,,,20.0,0.05,Commercial 추가
341,23,"Nano structured and Amorphous Materials (Texas, USA)",metal,Ag,1100.0,1600.0,600.0,,,,,,,811.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,504,21.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,30.0,,,,,,,,,,,,,,,,10.0,0.0,Commercial 추가
342,23,"Nano structured and Amorphous Materials (Texas, USA)",metal,Ag,1100.0,1600.0,600.0,,,,,,,811.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,504,21.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,30.0,,,,,,,,,,,,,,,,10.0,0.001,Commercial 추가
343,23,"Nano structured and Amorphous Materials (Texas, USA)",metal,Ag,1100.0,1600.0,600.0,,,,,,,811.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,504,21.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,30.0,,,,,,,,,,,,,,,,20.0,0.005,Commercial 추가
344,23,"Nano structured and Amorphous Materials (Texas, USA)",metal,Ag,1100.0,1600.0,600.0,,,,,,,811.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,504,21.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,30.0,,,,,,,,,,,,,,,,10.0,0.01,Commercial 추가
345,23,"Nano structured and Amorphous Materials (Texas, USA)",metal,Ag,1100.0,1600.0,600.0,,,,,,,811.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,504,21.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,30.0,,,,,,,,,,,,,,,,10.0,0.05,Commercial 추가
346,23,Sigma,MeOx,CeO2,25.0,25.0,,,,,,,,3950.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,504,21.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,40.0,,,,,,,,,,,,,,,,0.0,0.0,Commercial 추가
347,23,Sigma,MeOx,CeO2,25.0,25.0,,,,,,,,3950.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,504,21.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,40.0,,,,,,,,,,,,,,,,0.0,0.1,Commercial 추가
348,23,Sigma,MeOx,CeO2,25.0,25.0,,,,,,,,3950.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,504,21.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,40.0,,,,,,,,,,,,,,,,0.0,1.0,Commercial 추가
349,23,Sigma,MeOx,CeO2,25.0,25.0,,,,,,,,3950.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,504,21.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,40.0,,,,,,,,,,,,,,,,0.0,3.0,Commercial 추가
350,23,Sigma,MeOx,CeO2,25.0,25.0,,,,,,,,3950.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,120,5.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,40.0,,,,,,,,,,,,,,,,30.0,10.0,Commercial 추가
351,23,Sigma,MeOx,CeO2,25.0,25.0,,,,,,,,3950.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,168,7.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,40.0,,,,,,,,,,,,,,,,100.0,10.0,Commercial 추가
352,23,Sigma,MeOx,CeO2,25.0,25.0,,,,,,,,3950.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,504,21.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,40.0,,,,,,,,,,,,,,,,100.0,10.0,Commercial 추가
353,23,Sigma,MeOx,CeO2,5000.0,5000.0,,,,,,,,2730.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,504,21.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,40.0,,,,,,,,,,,,,,,,0.0,0.0,Commercial 추가
354,23,Sigma,MeOx,CeO2,5000.0,5000.0,,,,,,,,2730.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,504,21.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,40.0,,,,,,,,,,,,,,,,0.0,0.1,Commercial 추가
355,23,Sigma,MeOx,CeO2,5000.0,5000.0,,,,,,,,2730.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,504,21.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,40.0,,,,,,,,,,,,,,,,0.0,1.0,Commercial 추가
356,23,Sigma,MeOx,CeO2,5000.0,5000.0,,,,,,,,2730.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,504,21.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,40.0,,,,,,,,,,,,,,,,30.0,3.0,Commercial 추가
357,23,Sigma,MeOx,CeO2,5000.0,5000.0,,,,,,,,2730.0,,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,504,21.0,standard synthetic freshwater (hard),,,1,24.0,20.0,,40.0,,,,,,,,,,,,,,,,0.0,10.0,Commercial 추가
358,24,commercial,metal,Ag,144.0,169.0,119.0,,,,,,,307.0,0.2605,,307.0,721.0,139.0,,,,,0.0,,,1.0,,,,1.0,20.0,,0.22,,,,0.0055,6.5,48,2.0,standard synthetic freshwater (hard),dissolved organic material,0.1,5,24.0,50.0,,,,,,,,,,0.0039,0.0039,0.0038,50.0,0.0039,,,,,,
359,24,commercial,metal,Ag,26.0,27.0,25.0,,,,,,,258.0,0.243,,258.0,292.0,54.0,,,,,1.0,citrate,,1.0,,,,,,,,,,,0.0034,6.5,48,2.0,standard synthetic freshwater (hard),dissolved organic material,0.1,5,24.0,50.0,,,,,,,,,,0.0289,0.0333,0.0244,50.0,0.0289,,,,,,
360,24,in house,metal,Ag,35.0,43.0,27.0,,,,,,,1460.0,0.4645,,1460.0,16263.0,143.0,,1.0,,,1.0,citrate,,1.0,,,,,,,,,,,0.0492,6.5,48,2.0,standard synthetic freshwater (hard),dissolved organic material,0.1,5,24.0,50.0,,,,,,,,,,0.1258,0.1854,0.0663,50.0,0.1258,,,,,,
361,24,commercial,metal,Ag,68.0,75.0,61.0,,,,,,,1010.0,0.349,,1010.0,27270.0,67.0,,,,,1.0,citrate,,1.0,,,,,,,,,,,0.0003,6.5,48,2.0,standard synthetic freshwater (hard),dissolved organic material,0.1,5,24.0,50.0,,,,,,,,,,0.0776,0.11606,0.0391,50.0,0.0776,,,,,,
362,24,commercial,metal,Ag,106.0,108.0,104.0,,,,,,,315.0,0.169,,315.0,551.0,75.0,,,,,1.0,citrate,,1.0,,,,,,,,,,,0.0024,6.5,48,2.0,standard synthetic freshwater (hard),dissolved organic material,0.1,5,24.0,50.0,,,,,,,,,,0.2161,0.2287,0.2034,50.0,0.2161,,,,,,
363,24,commercial,metal,Ag,144.0,169.0,119.0,,,,,,,389.0,0.31,,389.0,793.0,79.0,,,,,0.0,,,1.0,,,,1.0,20.0,,0.22,,,,0.0037,6.5,48,2.0,standard synthetic freshwater (hard),dissolved organic material,8.0,5,24.0,50.0,,,,,,,,,,0.0334,0.0346,0.0322,50.0,0.0334,,,,,,
364,24,commercial,metal,Ag,26.0,27.0,25.0,,,,,,,34.0,0.5745,,34.0,148.0,6.0,,,,,1.0,citrate,,1.0,,,,,,,,,,,0.002,6.5,48,2.0,standard synthetic freshwater (hard),dissolved organic material,8.0,5,24.0,50.0,,,,,,,,,,0.0347,0.0556,0.0138,50.0,0.0347,,,,,,
365,24,in house,metal,Ag,35.0,43.0,27.0,,,,,,,276.0,0.2755,,276.0,533.0,19.0,,,,,1.0,citrate,,1.0,,,,,,,,,,,0.0517,6.5,48,2.0,standard synthetic freshwater (hard),dissolved organic material,8.0,5,24.0,50.0,,,,,,,,,,0.1053,0.175,0.0355,50.0,0.1053,,,,,,
366,24,commercial,metal,Ag,144.0,169.0,119.0,,,,,,,266.0,0.3305,,266.0,865.0,124.0,,,,,0.0,,,1.0,,,,1.0,20.0,,0.22,,,,0.006,8.0,48,2.0,standard synthetic freshwater (hard),dissolved organic material,0.1,5,24.0,50.0,,,,,,,,,,0.0081,0.0109,0.0053,50.0,0.0081,,,,,,
367,24,commercial,metal,Ag,26.0,27.0,25.0,,,,,,,1847.0,0.5095,,1847.0,1029.0,242.0,,,,,1.0,citrate,,1.0,,,,,,,,,,,0.005,8.0,48,2.0,standard synthetic freshwater (hard),dissolved organic material,0.1,5,24.0,50.0,,,,,,,,,,0.0806,0.1109,0.0503,50.0,0.0806,,,,,,
368,24,in house,metal,Ag,35.0,43.0,27.0,,,,,,,1045.0,0.4395,,1045.0,20939.0,132.0,,1.0,,,1.0,citrate,,1.0,,,,,,,,,,,0.0513,8.0,48,2.0,standard synthetic freshwater (hard),dissolved organic material,0.1,5,24.0,50.0,,,,,,,,,,0.3742,0.5347,0.2138,50.0,0.3742,,,,,,
369,24,commercial,metal,Ag,68.0,75.0,61.0,,,,,,,1013.0,0.3465,,1013.0,7059.0,91.0,,,,,1.0,citrate,,1.0,,,,,,,,,,,0.0018,8.0,48,2.0,standard synthetic freshwater (hard),dissolved organic material,0.1,5,24.0,50.0,,,,,,,,,,0.0916,0.11332,0.06978,50.0,0.0916,,,,,,
370,24,commercial,metal,Ag,106.0,108.0,104.0,,,,,,,560.0,0.2425,,560.0,3822.0,78.0,,,,,1.0,citrate,,1.0,,,,,,,,,,,0.0019,8.0,48,2.0,standard synthetic freshwater (hard),dissolved organic material,0.1,5,24.0,50.0,,,,,,,,,,0.1859,0.2068,0.165,50.0,0.1859,,,,,,
371,24,commercial,metal,Ag,144.0,169.0,119.0,,,,,,,252.0,0.382,,252.0,1171.0,121.0,,,,,0.0,,,1.0,,,,1.0,20.0,,0.22,,,,0.0031,8.0,48,2.0,standard synthetic freshwater (hard),dissolved organic material,8.0,5,24.0,50.0,,,,,,,,,,0.019,0.0399,0.0,50.0,0.019,,,,,,
372,25,Sigma-Aldrich,MeOx,CuO,50.0,50.0,,,,,,,,140.4,0.358,,140.4,462.6,181.8,,,,,,,,,,,,1.0,30.0,42.0,,,,,,8.0,504,21.0,ISO water,,,1,24.0,100.0,,10.0,,1.0,algae,400000.0,2.333333333,20.0,,,,,0.0,0.009,,,,,,
373,25,Sigma-Aldrich,MeOx,CuO,50.0,50.0,,,,,,,,140.4,0.358,,140.4,462.6,181.8,,,,,,,,,,,,1.0,30.0,42.0,,,,,,8.0,504,21.0,ISO water,,,1,24.0,100.0,,10.0,,1.0,algae,400000.0,2.333333333,20.0,,,,,0.2,0.045,,,,,,
374,25,Sigma-Aldrich,MeOx,CuO,50.0,50.0,,,,,,,,140.4,0.358,,140.4,462.6,181.8,,,,,,,,,,,,1.0,30.0,42.0,,,,,,8.0,504,21.0,ISO water,,,1,24.0,100.0,,10.0,,1.0,algae,400000.0,2.333333333,20.0,,,,,0.1,0.099,,,,,,
375,25,Sigma-Aldrich,MeOx,CuO,50.0,50.0,,,,,,,,140.4,0.358,,140.4,462.6,181.8,,,,,,,,,,,,1.0,30.0,42.0,,,,,,8.0,504,21.0,ISO water,,,1,24.0,100.0,,10.0,,1.0,algae,400000.0,2.333333333,20.0,,,,,0.0,0.239,,,,,,
376,25,Sigma-Aldrich,MeOx,CuO,50.0,50.0,,,,,,,,140.4,0.358,,140.4,462.6,181.8,,,,,,,,,,,,1.0,30.0,42.0,,,,,,8.0,504,21.0,ISO water,,,1,24.0,100.0,,10.0,,1.0,algae,400000.0,2.333333333,20.0,,,,,0.6,0.604,,,,,,
377,25,Sigma-Aldrich,MeOx,CuO,50.0,50.0,,,,,,,,140.4,0.358,,140.4,462.6,181.8,,,,,,,,,,,,1.0,30.0,42.0,,,,,,8.0,504,21.0,ISO water,,,1,24.0,100.0,,10.0,,1.0,algae,400000.0,2.333333333,20.0,,,,,0.5,1.413,,,,,,
378,26,AMEPOX (Poland),metal,Ag,5.5,8.0,3.0,,,,,,,129.5,,,129.5,132.0,127.0,,1.0,,99.0,,,,,,,,,,,,,0.105,0.015,,,24,1.0,ASTM hard water,,,5,24.0,,50.0,5.0,,1.0,algae,,,,,81.84,84.11,79.57,50.0,81.84,,,,,,"Commercial 추가, 단위환산 error"
379,26,AMEPOX (Poland),metal,Ag,5.5,8.0,3.0,,,,,,,129.5,,,129.5,132.0,127.0,,1.0,,99.0,,,,,,,,,,,,,0.105,0.015,,,48,2.0,ASTM hard water,,,5,24.0,,50.0,5.0,,1.0,algae,,,,,72.0,73.85,70.15,50.0,72.0,,,,,,"Commercial 추가, 단위환산 error"
380,26,AMEPOX (Poland),metal,Ag,5.5,8.0,3.0,,,,,,,129.5,,,129.5,132.0,127.0,,1.0,,99.0,,,,,,,,,,,,,0.105,0.015,,,24,1.0,ASTM hard water,,,5,24.0,,50.0,5.0,,0.0,,,,,,11.41,12.39,10.43,50.0,11.41,,,,,,"Commercial 추가, 단위환산 error"
381,26,AMEPOX (Poland),metal,Ag,5.5,8.0,3.0,,,,,,,129.5,,,129.5,132.0,127.0,,1.0,,99.0,,,,,,,,,,,,,0.105,0.015,,,48,2.0,ASTM hard water,,,5,24.0,,50.0,5.0,,0.0,,,,,,11.02,12.87,9.17,50.0,11.02,,,,,,"Commercial 추가, 단위환산 error"
382,27,"ViveNano (Toronto, CA; PN3010L)",metal,Ag,5.5,10.0,1.0,,,,,,,,,,,,,,,,,1.0,polyacrylate,,,,,,,,,,,0.0055,0.0005,,,48,2.0,COMBO media,,,1,24.0,40.0,50.0,25.0,,0.0,,,,,,0.00275,,,50.0,0.00275,,,,,,"Commercial 추가, 단위환산 error"
383,27,"NanoAmor (Los Alamos, NM, USA)",MeOx,TiO2,10.0,,,,,,,,,,,,,,,,,,,0.0,,anatase,,,,,1.0,,,,,11.25,4.0,,,48,2.0,COMBO media,,,1,24.0,40.0,50.0,25.0,,0.0,,,,,,7.75,,,50.0,7.75,,,,,,"Commercial 추가, 단위환산 error"
384,27,"NanoAmor (Los Alamos, NM, USA)",MeOx,TiO2,10.0,,,,,,,,,,,,,,,,,,,0.0,,anatase,,,,,1.0,,,,,,,,,576,24.0,COMBO media,,,1,24.0,40.0,50.0,25.0,,0.0,,,,,,,,,4.9,0.0,,,,,,"Commercial 추가, 단위환산 error, exposure time 추가"
385,27,"NanoAmor (Los Alamos, NM, USA)",MeOx,TiO2,10.0,,,,,,,,,,,,,,,,,,,0.0,,anatase,,,,,1.0,,,,,,,,,576,24.0,COMBO media,,,1,24.0,40.0,50.0,25.0,,0.0,,,,,,,,,18.3,4.5,,,,,,"Commercial 추가, 단위환산 error, exposure time 추가"
386,27,"NanoAmor (Los Alamos, NM, USA)",MeOx,TiO2,10.0,,,,,,,,,,,,,,,,,,,0.0,,anatase,,,,,1.0,,,,,,,,,576,24.0,COMBO media,,,1,24.0,40.0,50.0,25.0,,0.0,,,,,,,,,36.6,6.0,,,,,,"Commercial 추가, 단위환산 error, exposure time 추가"
387,27,"NanoAmor (Los Alamos, NM, USA)",MeOx,TiO2,10.0,,,,,,,,,,,,,,,,,,,0.0,,anatase,,,,,1.0,,,,,,,,,576,24.0,COMBO media,,,1,24.0,40.0,50.0,25.0,,0.0,,,,,,,,,41.5,7.5,,,,,,"Commercial 추가, 단위환산 error, exposure time 추가"
388,30,in house,metal,Ag,46.2,70.0,22.4,,,,,,,395.7,0.58,,395.7,660.4,131.0,-18.1,1.0,,,1.0,citrate,,,,,,,,,,,0.025,0.0001,,7.8,24,1.0,ISO water,,,5,24.0,10.0,,4.0,,,,,,,,0.0138,0.0143,0.0133,50.0,0.0138,,,,,,
389,30,in house,metal,Ag,46.2,70.0,22.4,,,,,,,395.7,0.58,,395.7,660.4,131.0,-18.1,1.0,,,1.0,citrate,,,,,,,,,,,0.025,0.0001,,7.8,48,2.0,ISO water,,,5,24.0,10.0,,4.0,,,,,,,,0.0124,0.013,0.0118,50.0,0.0124,,,,,,
390,31,in house,metal,Ag,17.5,47.0,8.0,,,,,,,641.0,0.94,,641.0,821.0,461.0,-8.315,,,,0.0,,,,,,,1.0,20.0,,,,0.1,0.005,,8.2,48,2.0,M7 medium,,,5,24.0,,100.0,4.0,,,,,,20.0,,,,,10.0,0.0235,,,,,,
391,31,in house,metal,Ag,17.5,47.0,8.0,,,,,,,641.0,0.94,,641.0,821.0,461.0,-8.315,,,,0.0,,,,,,,1.0,20.0,,,,0.1,0.005,,8.2,48,2.0,M7 medium,,,5,24.0,,100.0,4.0,,,,,,20.0,,0.0326,0.0382,0.0281,50.0,0.0326,,,,,,
392,31,in house,metal,Ag,17.5,47.0,8.0,,,,,,,689.5,0.885,,689.5,1032.0,347.0,-9.9,,,,0.0,,,,,,,1.0,20.0,,,,0.1,0.005,,8.2,48,2.0,M7 medium,,,5,24.0,,100.0,4.0,,,,,,20.0,,,,,10.0,0.0279,,,,,,
393,31,in house,metal,Ag,17.5,47.0,8.0,,,,,,,689.5,0.885,,689.5,1032.0,347.0,-9.9,,,,0.0,,,,,,,1.0,20.0,,,,0.1,0.005,,8.2,48,2.0,M7 medium,,,5,24.0,,100.0,4.0,,,,,,20.0,,0.0393,0.045,0.0332,50.0,0.0393,,,,,,
394,31,in house,metal,Ag,17.5,47.0,8.0,,,,,,,853.0,0.93,,853.0,1316.0,390.0,-10.85,,,,0.0,,,,,,,1.0,20.0,,,,0.1,0.005,,8.2,48,2.0,M7 medium,,,5,24.0,,100.0,4.0,,,,,,20.0,,,,,10.0,0.0247,,,,,,
395,31,in house,metal,Ag,17.5,47.0,8.0,,,,,,,853.0,0.93,,853.0,1316.0,390.0,-10.85,,,,0.0,,,,,,,1.0,20.0,,,,0.1,0.005,,8.2,48,2.0,M7 medium,,,5,24.0,,100.0,4.0,,,,,,20.0,,0.0413,,,50.0,0.0413,,,,,,
396,31,in house,MeOx,TiO2,25.0,26.7,23.3,,,,,,,855.5,0.335,,855.5,1119.0,592.0,6.95,,,,0.0,,,,,,,1.0,20.0,,,,100.0,12.5,,8.2,48,2.0,M7 medium,,,5,24.0,,100.0,4.0,,,,,,20.0,,,,,0.0,100.0,,,,,,
397,31,in house,MeOx,TiO2,25.0,26.7,23.3,,,,,,,855.5,0.335,,855.5,1119.0,592.0,6.95,,,,0.0,,,,,,,1.0,20.0,,,,100.0,12.5,,8.2,48,2.0,M7 medium,,,5,24.0,,100.0,4.0,,,,,,20.0,,,,,0.0,100.0,,,,,,
398,31,in house,MeOx,TiO2,25.0,26.7,23.3,,,,,,,1117.0,0.585,,1117.0,1325.0,909.0,6.75,,,,0.0,,,,,,,1.0,20.0,,,,100.0,12.5,,8.2,48,2.0,M7 medium,,,5,24.0,,100.0,4.0,,,,,,20.0,,,,,0.0,100.0,,,,,,
399,31,in house,MeOx,TiO2,25.0,26.7,23.3,,,,,,,1117.0,0.585,,1117.0,1325.0,909.0,6.75,,,,0.0,,,,,,,1.0,20.0,,,,100.0,12.5,,8.2,48,2.0,M7 medium,,,5,24.0,,100.0,4.0,,,,,,20.0,,,,,0.0,100.0,,,,,,
400,31,in house,MeOx,TiO2,25.0,26.7,23.3,,,,,,,801.0,0.41,,801.0,865.0,737.0,5.7,,,,0.0,,,,,,,1.0,20.0,,,,100.0,12.5,,8.2,48,2.0,M7 medium,,,5,24.0,,100.0,4.0,,,,,,20.0,,,,,0.0,100.0,,,,,,
401,31,in house,MeOx,TiO2,25.0,26.7,23.3,,,,,,,801.0,0.41,,801.0,865.0,737.0,5.7,,,,0.0,,,,,,,1.0,20.0,,,,100.0,12.5,,8.2,48,2.0,M7 medium,,,5,24.0,,100.0,4.0,,,,,,20.0,,,,,0.0,100.0,,,,,,
402,31,in house,MeOx,TiO2,25.0,26.7,23.3,,,,,,,105.0,0.29,,105.0,109.0,101.0,-13.95,,,,0.0,,,,,,,1.0,20.0,,,,100.0,12.5,,8.2,48,2.0,M7 medium,Suwannee river NOM,20.0,5,24.0,,100.0,4.0,,,,,,20.0,,,,,0.0,100.0,,,,,,
403,31,in house,MeOx,TiO2,25.0,26.7,23.3,,,,,,,105.0,0.29,,105.0,109.0,101.0,-13.95,,,,0.0,,,,,,,1.0,20.0,,,,100.0,12.5,,8.2,48,2.0,M7 medium,Suwannee river NOM,20.0,5,24.0,,100.0,4.0,,,,,,20.0,,,,,0.0,100.0,,,,,,
404,31,in house,MeOx,TiO2,25.0,26.7,23.3,,,,,,,144.0,0.31,,144.0,172.0,116.0,-14.6,,,,0.0,,,,,,,1.0,20.0,,,,100.0,12.5,,8.2,48,2.0,M7 medium,Suwannee river NOM,20.0,5,24.0,,100.0,4.0,,,,,,20.0,,,,,0.0,100.0,,,,,,
405,31,in house,MeOx,TiO2,25.0,26.7,23.3,,,,,,,144.0,0.31,,144.0,172.0,116.0,-14.6,,,,0.0,,,,,,,1.0,20.0,,,,100.0,12.5,,8.2,48,2.0,M7 medium,Suwannee river NOM,20.0,5,24.0,,100.0,4.0,,,,,,20.0,,,,,0.0,100.0,,,,,,
