GSE,GSM,treatment,group,organism,biological_system,dose,dose_unit,time_point,time_point_unit,slide,array,dye,platform,filenames
GSE53700,GSM1299149,SiO2_SM30,SiO2_SM30_3,Homo sapiens,A549,0.03,mg/ml,3,h,251485051889,1_3,NA,GPL6480,GSM1299149.txt
GSE53700,GSM1299150,SiO2_SM30,SiO2_SM30_3,Homo sapiens,A549,0.03,mg/ml,3,h,251485051889,1_4,NA,GPL6480,GSM1299150.txt
GSE53700,GSM1299151,SiO2_SM30,SiO2_SM30_3,Homo sapiens,A549,0.03,mg/ml,3,h,251485051888,1_1,NA,GPL6480,GSM1299151.txt
GSE53700,GSM1299152,control_SM30,control_SM30_3,Homo sapiens,A549,0,NA,3,h,251485051888,1_2,NA,GPL6480,GSM1299152.txt
GSE53700,GSM1299153,control_SM30,control_SM30_3,Homo sapiens,A549,0,NA,3,h,251485051888,1_3,NA,GPL6480,GSM1299153.txt
GSE53700,GSM1299154,control_SM30,control_SM30_3,Homo sapiens,A549,0,NA,3,h,251485051888,1_4,NA,GPL6480,GSM1299154.txt
GSE53700,GSM1299155,SiO2_AS30,SiO2_AS30_3,Homo sapiens,A549,0.03,mg/ml,3,h,251485043940,1_2,NA,GPL6480,GSM1299155.txt
GSE53700,GSM1299156,SiO2_AS30,SiO2_AS30_3,Homo sapiens,A549,0.03,mg/ml,3,h,251485043940,1_3,NA,GPL6480,GSM1299156.txt
GSE53700,GSM1299157,SiO2_AS30,SiO2_AS30_3,Homo sapiens,A549,0.03,mg/ml,3,h,251485043940,1_4,NA,GPL6480,GSM1299157.txt
GSE53700,GSM1299158,control,control_3,Homo sapiens,A549,0,NA,3,h,251485043939,1_2,NA,GPL6480,GSM1299158.txt
GSE53700,GSM1299159,control,control_3,Homo sapiens,A549,0,NA,3,h,251485043939,1_3,NA,GPL6480,GSM1299159.txt
GSE53700,GSM1299160,control,control_3,Homo sapiens,A549,0,NA,3,h,251485043939,1_4,NA,GPL6480,GSM1299160.txt
GSE53700,GSM1299161,SiO2_AS30,SiO2_AS30_22,Homo sapiens,A549,0.03,mg/ml,22,h,251485043941,1_2,NA,GPL6480,GSM1299161.txt
GSE53700,GSM1299162,SiO2_AS30,SiO2_AS30_22,Homo sapiens,A549,0.03,mg/ml,22,h,251485043941,1_3,NA,GPL6480,GSM1299162.txt
GSE53700,GSM1299163,SiO2_AS30,SiO2_AS30_22,Homo sapiens,A549,0.03,mg/ml,22,h,251485043941,1_4,NA,GPL6480,GSM1299163.txt
GSE53700,GSM1299164,control,control_22,Homo sapiens,A549,0,NA,22,h,251485043941,1_1,NA,GPL6480,GSM1299164.txt
GSE53700,GSM1299165,control,control_22,Homo sapiens,A549,0,NA,22,h,251485043940,1_1,NA,GPL6480,GSM1299165.txt
GSE53700,GSM1299166,control,control_22,Homo sapiens,A549,0,NA,22,h,251485043939,1_1,NA,GPL6480,GSM1299166.txt
