material,core_size,hydro_size,surf_charge,surf_area,Hsf,Ec,Ev,MeO,assay,cell_line,cell_species,cell_origin,cell_type,time,dose,viability,toxicity
Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,24,10,90.9326,nonToxic
Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,24,20,94.3005,nonToxic
Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,24,50,94.5596,nonToxic
Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,24,100,91.9689,nonToxic
Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,12,0.001,96.6234,nonToxic
Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,12,0.01,96.3636,nonToxic
Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,12,0.1,98.7013,nonToxic
Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,12,1,98.7013,nonToxic
Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,12,5,100.7792,nonToxic
Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,12,10,100.4329,nonToxic
Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,12,20,98.7013,nonToxic
Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,12,50,99.7403,nonToxic
Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,12,100,98.0087,nonToxic
Fe3O4,10,80,-35,110,-11.59,-5,-6.85,5.78,Alamar_blue,A549,Human,Lung,Cancer,72,0,100,nonToxic
Fe3O4,10,80,-35,110,-11.59,-5,-6.85,5.78,Alamar_blue,A549,Human,Lung,Cancer,72,1,95,nonToxic
Fe3O4,10,80,-35,110,-11.59,-5,-6.85,5.78,Alamar_blue,A549,Human,Lung,Cancer,72,10,91,nonToxic
Fe3O4,10,80,-35,110,-11.59,-5,-6.85,5.78,Alamar_blue,A549,Human,Lung,Cancer,72,100,88,nonToxic
Fe3O4,10,80,-35,110,-11.59,-5,-6.85,5.78,Alamar_blue,A549,Human,Lung,Cancer,24,0,100,nonToxic
Fe3O4,10,80,-35,110,-11.59,-5,-6.85,5.78,Alamar_blue,A549,Human,Lung,Cancer,24,1,96.376,nonToxic
Fe3O4,10,80,-35,110,-11.59,-5,-6.85,5.78,Alamar_blue,A549,Human,Lung,Cancer,24,10,95.302,nonToxic
Fe3O4,10,80,-35,110,-11.59,-5,-6.85,5.78,Alamar_blue,A549,Human,Lung,Cancer,24,100,93.691,nonToxic
Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,24,0.001,99.4819,nonToxic
Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,24,0.01,101.5544,nonToxic
Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,24,0.1,93.5233,nonToxic
Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,24,1,96.6321,nonToxic
Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,24,5,91.9689,nonToxic
Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,24,10,93.5233,nonToxic
Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,24,20,90.1554,nonToxic
Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,24,50,89.8964,nonToxic
Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,24,100,93.7824,nonToxic
Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,12,0.001,99.3939,nonToxic
Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,12,0.01,96.2771,nonToxic
Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,12,0.1,99.2208,nonToxic
Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,12,1,101.2987,nonToxic
Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,12,5,97.8355,nonToxic
Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,12,10,100.7792,nonToxic
Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,12,20,97.4892,nonToxic
Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,12,50,99.5671,nonToxic
Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,12,100,97.8355,nonToxic
SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,MeT_5A,Human,Mesothelium,Normal,24,0.01,91.5663,nonToxic
SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,MeT_5A,Human,Mesothelium,Normal,24,0.1,115.6627,nonToxic
SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,MeT_5A,Human,Mesothelium,Normal,24,1,101.4056,nonToxic
SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,MeT_5A,Human,Mesothelium,Normal,24,10,85.9438,nonToxic
SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,MeT_5A,Human,Mesothelium,Normal,24,25,94.9799,nonToxic
SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,MeT_5A,Human,Mesothelium,Normal,24,50,61.245,nonToxic
SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,MeT_5A,Human,Mesothelium,Normal,24,75,53.6145,nonToxic
SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,MeT_5A,Human,Mesothelium,Normal,24,100,67.8715,nonToxic
SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,A549,Human,Lung,Cancer,24,0.01,107.4297,nonToxic
SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,A549,Human,Lung,Cancer,24,0.1,107.6305,nonToxic
SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,A549,Human,Lung,Cancer,24,1,113.253,nonToxic
SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,A549,Human,Lung,Cancer,24,10,109.4377,nonToxic
SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,A549,Human,Lung,Cancer,24,25,105.2209,nonToxic
SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,A549,Human,Lung,Cancer,24,50,96.3855,nonToxic
SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,A549,Human,Lung,Cancer,24,75,91.3655,nonToxic
SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,A549,Human,Lung,Cancer,24,100,91.9679,nonToxic
SiO2,369,546,-38.7,9,-9.41,-2.02,-11.12,6.19,LDH,BEAS_2B,Human,Lung,Normal,20,0,94.2,nonToxic
SiO2,369,546,-38.7,9,-9.41,-2.02,-11.12,6.19,LDH,BEAS_2B,Human,Lung,Normal,20,1440,90.6,nonToxic
SiO2,369,546,-38.7,9,-9.41,-2.02,-11.12,6.19,LDH,BEAS_2B,Human,Lung,Normal,20,0,94.1,nonToxic
SiO2,369,546,-38.7,9,-9.41,-2.02,-11.12,6.19,LDH,BEAS_2B,Human,Lung,Normal,20,1440,85.6,nonToxic
SiO2,27.5,75.1,-29.5,65,-9.41,-2.02,-11.12,6.19,LDH,BEAS_2B,Human,Lung,Normal,20,0,94.2,nonToxic
SiO2,27.5,75.1,-29.5,65,-9.41,-2.02,-11.12,6.19,LDH,BEAS_2B,Human,Lung,Normal,20,200,91.9,nonToxic
SiO2,27.5,75.1,-29.5,65,-9.41,-2.02,-11.12,6.19,LDH,BEAS_2B,Human,Lung,Normal,20,0,94.1,nonToxic
SiO2,27.5,75.1,-29.5,65,-9.41,-2.02,-11.12,6.19,LDH,BEAS_2B,Human,Lung,Normal,20,200,91.6,nonToxic
SiO2,50,79,-13.2,108.3,-9.41,-2.02,-11.12,6.19,Alamar_blue,A549,Human,Lung,Cancer,24,0,101.28,nonToxic
SiO2,50,79,-13.2,108.3,-9.41,-2.02,-11.12,6.19,Alamar_blue,A549,Human,Lung,Cancer,24,0.001,102.24,nonToxic
SiO2,50,79,-13.2,108.3,-9.41,-2.02,-11.12,6.19,Alamar_blue,A549,Human,Lung,Cancer,24,0.01,101.28,nonToxic
SiO2,50,79,-13.2,108.3,-9.41,-2.02,-11.12,6.19,Alamar_blue,A549,Human,Lung,Cancer,24,0.1,96.48,nonToxic
SiO2,50,79,-13.2,108.3,-9.41,-2.02,-11.12,6.19,Alamar_blue,A549,Human,Lung,Cancer,24,1,98.4,nonToxic
SiO2,50,79,-13.2,108.3,-9.41,-2.02,-11.12,6.19,Alamar_blue,A549,Human,Lung,Cancer,24,10,97.92,nonToxic
SiO2,50,79,-13.2,108.3,-9.41,-2.02,-11.12,6.19,Alamar_blue,A549,Human,Lung,Cancer,24,100,99.36,nonToxic
TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,24,0,100,nonToxic
TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,24,20,90,nonToxic
TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,24,40,122.2222,nonToxic
TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,24,60,111.1111,nonToxic
TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,24,80,127.7778,nonToxic
TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,24,100,142.2222,nonToxic
TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,24,120,115.5556,nonToxic
TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,24,150,151.1111,nonToxic
TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,6,0,100,nonToxic
TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,6,20,116.6667,nonToxic
TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,6,40,110,nonToxic
TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,6,60,104.4444,nonToxic
TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,6,80,111.1111,nonToxic
TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,6,100,122.2222,nonToxic
TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,6,120,121.1111,nonToxic
