GSE,GSM,treatment,group,organism,biological_system,dose,dose_unit,time_point,time_point_unit,slide,array,dye,platform,filenames
GSE81565,GSM2157318,control,control_1d,Mus musculus,Lung,0,NA,1,d,251486839958_201411211006,1_3,Cy5,GPL7202,GSM2157318_251486839958_201411211006_S01_GE2_1100_Jul11_1_3.txt
GSE81565,GSM2157319,nanoTiO2 (rutile hydrophilic),nanoTiO2_162ug_1d,Mus musculus,Lung,162,ug,1,d,251486839958_201411211006,1_4,Cy5,GPL7202,GSM2157319_251486839958_201411211006_S01_GE2_1100_Jul11_1_4.txt
GSE81565,GSM2157320,nanoTiO2 (rutile hydrophilic),nanoTiO2_486ug_28d,Mus musculus,Lung,486,ug,28,d,251486839957_201411211014,1_1,Cy5,GPL7202,GSM2157320_251486839957_201411211014_S01_GE2_1100_Jul11_1_1.txt
GSE81565,GSM2157321,control,control_28d,Mus musculus,Lung,0,NA,28,d,251486839957_201411211014,1_2,Cy5,GPL7202,GSM2157321_251486839957_201411211014_S01_GE2_1100_Jul11_1_2.txt
GSE81565,GSM2157322,nanoTiO2 (rutile hydrophilic),nanoTiO2_54ug_28d,Mus musculus,Lung,54,ug,28,d,251486839957_201411211014,1_3,Cy5,GPL7202,GSM2157322_251486839957_201411211014_S01_GE2_1100_Jul11_1_3.txt
GSE81565,GSM2157323,nanoTiO2 (rutile hydrophilic),nanoTiO2_162ug_28d,Mus musculus,Lung,162,ug,28,d,251486839957_201411211014,1_4,Cy5,GPL7202,GSM2157323_251486839957_201411211014_S01_GE2_1100_Jul11_1_4.txt
GSE81565,GSM2157324,nanoTiO2 (rutile hydrophilic),nanoTiO2_54ug_1d,Mus musculus,Lung,54,ug,1,d,251486839940_201412101231,1_1,Cy5,GPL7202,GSM2157324_251486839940_201412101231_S01_GE2_1100_Jul11_1_1.txt
GSE81565,GSM2157325,nanoTiO2 (rutile hydrophilic),nanoTiO2_486ug_1d,Mus musculus,Lung,486,ug,1,d,251486839940_201412101231,1_2,Cy5,GPL7202,GSM2157325_251486839940_201412101231_S01_GE2_1100_Jul11_1_2.txt
GSE81565,GSM2157326,nanoTiO2 (rutile hydrophilic),nanoTiO2_162ug_1d,Mus musculus,Lung,162,ug,1,d,251486839940_201412101231,1_3,Cy5,GPL7202,GSM2157326_251486839940_201412101231_S01_GE2_1100_Jul11_1_3.txt
GSE81565,GSM2157327,control,control_1d,Mus musculus,Lung,0,NA,1,d,251486839940_201412101231,1_4,Cy5,GPL7202,GSM2157327_251486839940_201412101231_S01_GE2_1100_Jul11_1_4.txt
GSE81565,GSM2157328,nanoTiO2 (rutile hydrophilic),nanoTiO2_54ug_28d,Mus musculus,Lung,54,ug,28,d,251486839941_201412101239,1_1,Cy5,GPL7202,GSM2157328_251486839941_201412101239_S01_GE2_1100_Jul11_1_1.txt
GSE81565,GSM2157329,control,control_28d,Mus musculus,Lung,0,NA,28,d,251486839941_201412101239,1_2,Cy5,GPL7202,GSM2157329_251486839941_201412101239_S01_GE2_1100_Jul11_1_2.txt
GSE81565,GSM2157330,nanoTiO2 (rutile hydrophilic),nanoTiO2_486ug_28d,Mus musculus,Lung,486,ug,28,d,251486839941_201412101239,1_3,Cy5,GPL7202,GSM2157330_251486839941_201412101239_S01_GE2_1100_Jul11_1_3.txt
GSE81565,GSM2157331,nanoTiO2 (rutile hydrophilic),nanoTiO2_162ug_28d,Mus musculus,Lung,162,ug,28,d,251486839941_201412101239,1_4,Cy5,GPL7202,GSM2157331_251486839941_201412101239_S01_GE2_1100_Jul11_1_4.txt
GSE81565,GSM2157332,control,control_1d,Mus musculus,Lung,0,NA,1,d,251486839939_201412101247,1_1,Cy5,GPL7202,GSM2157332_251486839939_201412101247_S01_GE2_1100_Jul11_1_1.txt
GSE81565,GSM2157333,nanoTiO2 (rutile hydrophilic),nanoTiO2_162ug_1d,Mus musculus,Lung,162,ug,1,d,251486839939_201412101247,1_2,Cy5,GPL7202,GSM2157333_251486839939_201412101247_S01_GE2_1100_Jul11_1_2.txt
GSE81565,GSM2157334,nanoTiO2 (rutile hydrophilic),nanoTiO2_486ug_1d,Mus musculus,Lung,486,ug,1,d,251486839939_201412101247,1_3,Cy5,GPL7202,GSM2157334_251486839939_201412101247_S01_GE2_1100_Jul11_1_3.txt
GSE81565,GSM2157335,nanoTiO2 (rutile hydrophilic),nanoTiO2_54ug_28d,Mus musculus,Lung,54,ug,28,d,251486839939_201412101247,1_4,Cy5,GPL7202,GSM2157335_251486839939_201412101247_S01_GE2_1100_Jul11_1_4.txt
