GSE,GSM,treatment,group,organism,biological_system,dose,dose_unit,time_point,time_point_unit,slide,array,dye,platform,filenames
GSE43515,GSM1064755,control,control_4h,Homo sapiens,16lu,0,NA,4,h,NA,NA,NA,GPL571,GSM1064755__56r_con_4_h_w_HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064756,Carbon black_IL13,carbon_black_IL13_4h,Homo sapiens,16lu,10,ug/cm2,4,h,NA,NA,NA,GPL571,GSM1064756__57_CB_4_h___HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064757,Carbon black,carbon_black_4h,Homo sapiens,16lu,10,ug/cm2,4,h,NA,NA,NA,GPL571,GSM1064757__58_CB_4_h_w_HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064758,MWCNT_IL13,MWCNT_IL13_4h,Homo sapiens,16lu,10,ug/cm2,4,h,NA,NA,NA,GPL571,GSM1064758__59_MW_4_h___HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064759,MWCNT,MWCNT_4h,Homo sapiens,16lu,10,ug/cm2,4,h,NA,NA,NA,GPL571,GSM1064759__60_MW_4_h_w_HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064760,control_IL13,control_IL13_24h,Homo sapiens,16lu,0,NA,24,h,NA,NA,NA,GPL571,GSM1064760__61_con_24_h___HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064761,control,control_24h,Homo sapiens,16lu,0,NA,24,h,NA,NA,NA,GPL571,GSM1064761__62_con_24_h_w_HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064762,Carbon black_IL13,carbon_black_IL13_24h,Homo sapiens,16lu,10,ug/cm2,24,h,NA,NA,NA,GPL571,GSM1064762__63_CB_24_h___HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064763,Carbon black,carbon_black_24h,Homo sapiens,16lu,10,ug/cm2,24,h,NA,NA,NA,GPL571,GSM1064763__64_CB_24_h_w_HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064764,MWCNT_IL13,MWCNT_IL13_24h,Homo sapiens,16lu,10,ug/cm2,24,h,NA,NA,NA,GPL571,GSM1064764__65_MW_24_h___HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064765,MWCNT,MWCNT_24h,Homo sapiens,16lu,10,ug/cm2,24,h,NA,NA,NA,GPL571,GSM1064765__66_MW_24_h_w_HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064766,control_IL13,control_IL13_48h,Homo sapiens,16lu,0,NA,48,h,NA,NA,NA,GPL571,GSM1064766__67_con_48_h___HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064767,control,control_48h,Homo sapiens,16lu,0,NA,48,h,NA,NA,NA,GPL571,GSM1064767__68_con_48_h_w_HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064768,Carbon black_IL13,carbon_black_IL13_48h,Homo sapiens,16lu,10,ug/cm2,48,h,NA,NA,NA,GPL571,GSM1064768__69_CB_48_h___HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064769,Carbon black,carbon_black_48h,Homo sapiens,16lu,10,ug/cm2,48,h,NA,NA,NA,GPL571,GSM1064769__70_CB_48_h_w_HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064770,MWCNT_IL13,MWCNT_IL13_48h,Homo sapiens,16lu,10,ug/cm2,48,h,NA,NA,NA,GPL571,GSM1064770__71_MWCNT_48_h___HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064771,MWCNT,MWCNT_48h,Homo sapiens,16lu,10,ug/cm2,48,h,NA,NA,NA,GPL571,GSM1064771__72_MWCNT_48_h_w_HG_U133A_2_JCBLRI000.CEL
